sample_id_1,sample_id_2,identifier_1,identifier_2,distance
81109535,80209534,1d96c969-cc00-4f4c-8f3c-e9027c3e5fb6,b211cde2-051e-4cae-b35e-57a8a7e3e40e,inf
81109535,80209534,1d96c969-cc00-4f4c-8f3c-e9027c3e5fb6,bf8cea60-01d7-4b0d-a5c6-9118aa085404,inf
81109535,80209534,1d96c969-cc00-4f4c-8f3c-e9027c3e5fb6,dcd013b7-6fa0-445d-9115-3cf0705d22fd,inf
81109535,80209534,1d96c969-cc00-4f4c-8f3c-e9027c3e5fb6,930f3be5-5333-4e32-8485-dba49939ff1e,inf
81109535,80209534,1d96c969-cc00-4f4c-8f3c-e9027c3e5fb6,8e8f2d8d-f8db-41b5-84c0-a3b85a349b47,inf
81109535,80209534,1d96c969-cc00-4f4c-8f3c-e9027c3e5fb6,685a7b52-2761-46b1-aeed-86a89e535443,inf
81109535,80209534,1d96c969-cc00-4f4c-8f3c-e9027c3e5fb6,f51859eb-c120-418f-af7c-5d30b321d750,inf
81109535,80209534,1d96c969-cc00-4f4c-8f3c-e9027c3e5fb6,78d3ca9c-dbfc-44f1-88b2-dd0ae8a77353,inf
81109535,80209534,1d96c969-cc00-4f4c-8f3c-e9027c3e5fb6,a9c7e2ea-077a-47e6-aaec-1712a11645b0,inf
81109535,80209534,1d96c969-cc00-4f4c-8f3c-e9027c3e5fb6,0d350581-ee3e-44e1-a6e7-dd843b836f1c,inf
81109535,80209534,1d96c969-cc00-4f4c-8f3c-e9027c3e5fb6,76d51ee9-767e-44d0-82fa-3b56f956c7b9,inf
81109535,80209534,1d96c969-cc00-4f4c-8f3c-e9027c3e5fb6,72f56dc7-a495-4bba-b9a0-8ec7040f4443,inf
81109535,80209534,6515b981-afaa-4637-9adf-5b94fbc1ecfa,b211cde2-051e-4cae-b35e-57a8a7e3e40e,inf
81109535,80209534,6515b981-afaa-4637-9adf-5b94fbc1ecfa,bf8cea60-01d7-4b0d-a5c6-9118aa085404,inf
81109535,80209534,6515b981-afaa-4637-9adf-5b94fbc1ecfa,dcd013b7-6fa0-445d-9115-3cf0705d22fd,inf
81109535,80209534,6515b981-afaa-4637-9adf-5b94fbc1ecfa,930f3be5-5333-4e32-8485-dba49939ff1e,inf
81109535,80209534,6515b981-afaa-4637-9adf-5b94fbc1ecfa,8e8f2d8d-f8db-41b5-84c0-a3b85a349b47,inf
81109535,80209534,6515b981-afaa-4637-9adf-5b94fbc1ecfa,685a7b52-2761-46b1-aeed-86a89e535443,inf
81109535,80209534,6515b981-afaa-4637-9adf-5b94fbc1ecfa,f51859eb-c120-418f-af7c-5d30b321d750,inf
81109535,80209534,6515b981-afaa-4637-9adf-5b94fbc1ecfa,78d3ca9c-dbfc-44f1-88b2-dd0ae8a77353,inf
81109535,80209534,6515b981-afaa-4637-9adf-5b94fbc1ecfa,a9c7e2ea-077a-47e6-aaec-1712a11645b0,inf
81109535,80209534,6515b981-afaa-4637-9adf-5b94fbc1ecfa,0d350581-ee3e-44e1-a6e7-dd843b836f1c,inf
81109535,80209534,6515b981-afaa-4637-9adf-5b94fbc1ecfa,76d51ee9-767e-44d0-82fa-3b56f956c7b9,inf
81109535,80209534,6515b981-afaa-4637-9adf-5b94fbc1ecfa,72f56dc7-a495-4bba-b9a0-8ec7040f4443,inf
81109535,80209534,3fdaff81-422a-44cf-871c-b8bb0f2cad9b,b211cde2-051e-4cae-b35e-57a8a7e3e40e,inf
81109535,80209534,3fdaff81-422a-44cf-871c-b8bb0f2cad9b,bf8cea60-01d7-4b0d-a5c6-9118aa085404,inf
81109535,80209534,3fdaff81-422a-44cf-871c-b8bb0f2cad9b,dcd013b7-6fa0-445d-9115-3cf0705d22fd,inf
81109535,80209534,3fdaff81-422a-44cf-871c-b8bb0f2cad9b,930f3be5-5333-4e32-8485-dba49939ff1e,inf
81109535,80209534,3fdaff81-422a-44cf-871c-b8bb0f2cad9b,8e8f2d8d-f8db-41b5-84c0-a3b85a349b47,inf
81109535,80209534,3fdaff81-422a-44cf-871c-b8bb0f2cad9b,685a7b52-2761-46b1-aeed-86a89e535443,inf
